Format Version,1.21,Take Name,Take 2016-01-05 03.49.50 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2016-01-05 03.49.50.755 PM,Total Frames in Take,250,Total Exported Frames,250,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1,Rigid Body 1_1,Rigid Body 1_1,Rigid Body 1_1,Rigid Body 1_1,Rigid Body 1_2,Rigid Body 1_2,Rigid Body 1_2,Rigid Body 1_2,Rigid Body 1_3,Rigid Body 1_3,Rigid Body 1_3,Rigid Body 1_3,Unlabeled:108,Unlabeled:108,Unlabeled:108,Unlabeled:110,Unlabeled:110,Unlabeled:110,Unlabeled:111,Unlabeled:111,Unlabeled:111,Rigid Body 1:Marker1,Rigid Body 1:Marker1,Rigid Body 1:Marker1,Rigid Body 1:Marker2,Rigid Body 1:Marker2,Rigid Body 1:Marker2,Rigid Body 1:Marker3,Rigid Body 1:Marker3,Rigid Body 1:Marker3,Unlabeled:105,Unlabeled:105,Unlabeled:105,Unlabeled:107,Unlabeled:107,Unlabeled:107,Unlabeled:106,Unlabeled:106,Unlabeled:106
,,"CF5107FCB3ED11E565670A50E6808782","CF5107FCB3ED11E565670A50E6808782","CF5107FCB3ED11E565670A50E6808782","CF5107FCB3ED11E565670A50E6808782","CF5107FCB3ED11E565670A50E6808782","CF5107FCB3ED11E565670A50E6808782","CF5107FCB3ED11E565670A50E6808782","CF5107FCB3ED11E565670A50E6808782","CF5107FCB3ED11E565670A50E6808782","CF5107FCB3ED11E565670A50E6808782","CF5107FCB3ED11E565670A50E6808782","CF5107FCB3ED11E565670A50E6808782","CF5107FCB3ED11E565670A50E6808782","CF5107FCB3ED11E565670A50E6808782","CF5107FCB3ED11E565670A50E6808782","CF5107FCB3ED11E565670A50E6808782","CF5107FCB3ED11E565670A50E6808782","CF5107FCB3ED11E565670A50E6808782","CF5107FCB3ED11E565670A50E6808782","CF5107FCB3ED11E565670A50E6808782","8392B20CF49E35706C","8392B20CF49E35706C","8392B20CF49E35706C","8392B20CF49E35706E","8392B20CF49E35706E","8392B20CF49E35706E","8392B20CF49E35706F","8392B20CF49E35706F","8392B20CF49E35706F","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000001","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000002","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E3573100000003","8392B20CF49E357069","8392B20CF49E357069","8392B20CF49E357069","8392B20CF49E35706B","8392B20CF49E35706B","8392B20CF49E35706B","8392B20CF49E35706A","8392B20CF49E35706A","8392B20CF49E35706A"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.000035,0.000016,-0.000030,-1.000000,0.060002,0.019150,0.076611,0.000004,0.009986,0.019136,0.009807,0.998795,0.009956,0.019187,0.210196,0.998642,0.160064,0.019128,0.009831,0.999549,-0.724127,0.716956,2.824065,-0.733624,0.731344,2.337087,-0.724864,0.718670,2.661366,0.009933,0.019160,0.009812,0.009910,0.019217,0.210209,0.160012,0.019159,0.009836,,,,,,,,,
1,0.008333,-0.000008,0.000024,0.000029,-1.000000,0.060004,0.019161,0.076594,0.000011,0.009990,0.019158,0.009789,0.998795,0.009956,0.019192,0.210178,0.998642,0.160067,0.019133,0.009815,0.999549,-0.721400,0.713024,2.832238,-0.733640,0.731334,2.337045,-0.724867,0.718659,2.661326,0.009934,0.019175,0.009803,0.009903,0.019222,0.210190,0.160024,0.019169,0.009810,,,,,,,,,
2,0.016667,0.000010,0.000020,-0.000004,-1.000000,0.060007,0.019156,0.076598,0.000014,0.009991,0.019147,0.009794,0.998318,0.009959,0.019188,0.210182,0.997312,0.160069,0.019132,0.009819,0.996081,-0.724218,0.717011,2.823880,-0.733638,0.731309,2.337061,-0.724853,0.718654,2.661358,0.009933,0.019161,0.009812,0.009905,0.019226,0.210186,0.160027,0.019168,0.009815,,,,,,,,,
3,0.025000,-0.000035,0.000011,-0.000007,-1.000000,0.060001,0.019154,0.076596,0.000017,0.009985,0.019151,0.009792,0.996200,0.009956,0.019174,0.210181,0.996586,0.160062,0.019137,0.009814,0.996344,-0.724088,0.716905,2.824095,-0.733636,0.731284,2.337074,-0.724863,0.718627,2.661375,0.009919,0.019170,0.009804,0.009906,0.019208,0.210189,0.160029,0.019165,0.009816,,,,,,,,,
4,0.033333,0.000013,0.000027,-0.000005,-1.000000,0.060002,0.019144,0.076593,0.000015,0.009988,0.019135,0.009788,0.995401,0.009952,0.019178,0.210177,0.997577,0.160065,0.019120,0.009815,0.994107,-0.721357,0.712979,2.832328,-0.733633,0.731253,2.337096,-0.724873,0.718642,2.661388,0.009935,0.019150,0.009808,0.009898,0.019211,0.210188,0.160025,0.019155,0.009808,,,,,,,,,
5,0.041667,-0.000017,0.000030,0.000034,-1.000000,0.060002,0.019154,0.076599,0.000002,0.009988,0.019153,0.009793,0.997294,0.009951,0.019183,0.210182,0.995913,0.160066,0.019126,0.009821,0.995576,-0.724132,0.716957,2.824004,-0.733641,0.731263,2.337067,-0.724873,0.718660,2.661379,0.009938,0.019172,0.009804,0.009908,0.019216,0.210190,0.160014,0.019156,0.009827,,,,,,,,,
